,자동차검사소유형,위치,검사기술인력수,위도,경도,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부
119,민간,대전광역시,3,36.36203256,127.305578,Y,Y,N,N,N,Y,Y
120,민간,대전광역시,3,36.26859064,127.4719618,Y,Y,N,N,N,Y,Y
121,민간,대전광역시,3,36.323093,127.471814,Y,Y,N,N,N,Y,Y
122,민간,대전광역시,3,36.323686,127.37789950000001,Y,Y,N,N,N,Y,Y
123,민간,부산광역시,0,35.18225698,129.199556,Y,Y,N,Y,Y,Y,Y
124,민간,부산광역시,0,35.20510328,129.1215421,Y,Y,N,Y,Y,Y,Y
125,민간,부산광역시,0,35.20494676,129.1205238,Y,Y,N,Y,Y,Y,Y
126,민간,부산광역시,0,35.18385095,129.2005696,Y,Y,N,Y,Y,Y,Y
127,민간,부산광역시,0,35.18389948,129.1189968,Y,Y,N,Y,Y,Y,Y
128,민간,경기도,3,37.7621399,126.7657187,N,Y,N,N,Y,Y,Y
129,민간,경기도,5,37.85792381,126.79635729999998,N,Y,N,N,N,Y,Y
130,민간,경기도,0,37.723585799999995,126.69995159999998,N,Y,N,N,N,Y,Y
131,민간,경기도,4,37.76190832,126.76786200000001,N,Y,N,N,N,Y,Y
132,민간,대전광역시,4,36.37781545,127.411974,Y,Y,N,N,N,Y,Y
133,민간,대전광역시,3,36.44329001,127.433499,Y,Y,N,N,N,Y,Y
134,민간,대전광역시,3,36.38351398,127.4243929,Y,Y,N,N,N,Y,Y
135,민간,대전광역시,2,36.37675982,127.410698,Y,Y,N,N,N,Y,Y
136,민간,대전광역시,3,36.431589,127.424182,Y,Y,N,N,N,Y,Y
137,민간,대전광역시,3,36.44436152,127.4331607,Y,Y,N,N,N,Y,Y
138,민간,대전광역시,3,36.39144012,127.4132362,Y,Y,N,N,N,Y,Y
139,민간,대전광역시,4,36.36884941,127.419463,Y,Y,N,N,N,Y,Y
140,민간,대전광역시,2,36.444431,127.4056988,Y,Y,N,N,N,Y,Y
141,공공,대전광역시,9,36.32484117,127.377932,Y,Y,Y,Y,Y,Y,Y
142,공공,대전광역시,7,36.44704811,127.40511629999999,Y,Y,Y,Y,Y,Y,Y
143,공공,대전광역시,5,36.346222,127.35502140000001,Y,Y,Y,Y,Y,Y,Y
144,민간,대전광역시,3,36.31994416,127.4699639,Y,Y,N,N,N,Y,Y
145,민간,대전광역시,3,36.349588,127.439805,Y,Y,N,N,N,Y,Y
146,민간,경기도,3,37.72437451,126.701624,N,Y,N,N,N,Y,Y
147,민간,경기도,3,37.75552179,126.8012763,N,Y,N,N,N,Y,Y
148,민간,경기도,3,37.81236016,126.7825403,N,Y,N,N,N,Y,Y
149,민간,경기도,2,37.8101254,126.8218517,N,Y,N,N,N,Y,Y
150,민간,경기도,3,37.77834538,126.788844,N,Y,N,N,N,Y,Y
151,민간,경기도,3,37.81543295,126.7689058,N,Y,N,N,N,Y,Y
152,민간,경기도,2,37.77200233,126.721975,N,Y,N,N,N,Y,Y
153,민간,경기도,4,37.74837564,126.74973680000001,N,Y,N,N,N,Y,Y
154,민간,경기도,3,37.7042830485,126.72670600000001,N,Y,N,N,N,Y,Y
155,민간,부산광역시,4,35.09034247,129.0238917,N,Y,N,Y,N,Y,Y
156,민간,인천광역시,19,37.525261,126.740393,N,Y,N,Y,N,N,N
157,민간,인천광역시,11,37.525744,126.740654,N,Y,N,Y,N,N,N
158,민간,인천광역시,0,37.51708022,126.7085084,N,Y,N,Y,N,Y,Y
159,민간,인천광역시,0,37.51659292,126.70572890000001,N,Y,N,Y,N,Y,Y
160,민간,인천광역시,0,37.5234995,126.7160203,N,Y,N,Y,N,Y,Y
161,민간,인천광역시,0,37.51747629,126.7318953,N,Y,N,Y,N,Y,Y
162,민간,인천광역시,0,37.51148052,126.7213976,N,Y,N,Y,N,Y,Y
163,민간,인천광역시,0,37.52218496,126.70565309999999,N,Y,N,Y,N,Y,Y
164,민간,인천광역시,0,37.47826314,126.6913858,N,Y,N,Y,N,Y,Y
165,민간,인천광역시,0,37.52216553,126.6937217,N,Y,N,Y,N,N,Y
166,민간,인천광역시,0,37.52526136,126.7403933,N,Y,N,Y,N,Y,Y
167,민간,인천광역시,0,37.52574359,126.74068909999998,N,Y,N,Y,N,Y,Y
168,민간,경기도,0,37.08134909,126.80993090000001,N,Y,N,N,N,Y,Y
169,민간,경기도,0,37.21882632,126.97800819999999,N,Y,N,N,N,Y,Y
170,민간,경기도,0,37.16235494,126.89802490000001,N,Y,N,N,N,Y,Y
171,민간,경기도,0,37.20242225,126.8623443,N,Y,N,N,N,Y,N
172,민간,경기도,0,37.21091854,126.73843909999998,N,Y,N,N,N,Y,N
173,민간,경기도,0,37.0639238,126.79403740000001,N,Y,N,N,N,Y,N
174,민간,경기도,0,37.16129606,126.9812898,N,Y,N,N,N,Y,Y
175,민간,경기도,0,37.13978842,126.90270430000001,N,Y,N,N,N,Y,Y
176,민간,경기도,0,37.20512179,126.78532870000001,N,Y,N,N,N,Y,Y
177,민간,경기도,0,37.22412516,126.8525100232,N,Y,N,N,N,Y,N
178,민간,경기도,0,37.21039819,126.9844269,N,Y,N,N,N,Y,Y
179,민간,경기도,0,37.2166900103,126.8198888801,N,Y,N,N,N,Y,Y
180,민간,경기도,0,37.12810423,126.8510483,N,Y,N,N,N,Y,Y
181,민간,경기도,0,37.0961166,126.94036809999999,N,Y,N,N,N,Y,Y
182,민간,경기도,0,37.08412979999999,126.8487686,N,Y,N,N,N,Y,Y
183,민간,경기도,0,37.1539516,126.93165890000002,N,Y,N,N,N,Y,N
184,민간,경기도,0,37.08617875,126.9073037,N,Y,N,N,N,Y,N
185,민간,경기도,0,37.21794275,127.05517900000001,N,Y,N,N,N,Y,Y
186,민간,경기도,0,37.09790379,126.9403881,N,Y,N,N,N,Y,N
187,민간,강원특별자치도,2,37.298944,127.796268,N,Y,N,N,N,N,N
188,민간,강원특별자치도,3,37.362072999999995,127.915504,N,Y,N,N,N,Y,Y
189,민간,강원특별자치도,3,37.308797999999996,127.92748700000001,Y,Y,N,Y,Y,Y,Y
190,민간,강원특별자치도,3,37.296535999999996,127.79323400000001,N,Y,N,N,N,Y,Y
191,민간,강원특별자치도,3,37.357763,127.927967,N,Y,N,Y,N,Y,Y
192,민간,강원특별자치도,2,37.360986,127.906131,N,Y,N,N,N,Y,Y
193,민간,강원특별자치도,3,37.34496,127.97742,N,Y,N,N,N,Y,Y
194,민간,강원특별자치도,3,37.337931,127.98466299999998,N,Y,N,N,N,Y,Y
195,민간,인천광역시,0,37.52576666,126.70408400000001,N,Y,N,Y,N,Y,Y
196,민간,인천광역시,0,37.47825904,126.68078799999999,N,Y,N,Y,N,Y,Y
197,민간,인천광역시,0,37.48959093,126.6538619,N,Y,N,Y,N,Y,Y
198,민간,인천광역시,0,37.49036314,126.6637371,N,Y,N,Y,N,Y,Y
199,민간,인천광역시,0,37.50033388,126.66095320000001,N,Y,N,Y,N,Y,Y
200,민간,인천광역시,0,37.50958348,126.6719344,N,Y,N,Y,N,Y,Y
201,민간,인천광역시,0,37.50330004,126.66283159999999,N,Y,N,Y,N,Y,Y
202,민간,인천광역시,0,37.59292542,126.6571747,N,Y,N,Y,N,Y,Y
